Nama Perguruan Tinggi Swasta;Tahun;Mahasiswa;Dosen;Rasio
AKBID Muslimat Nahdlatul Ulama Kudus;2022;34;7;1:5
AKBID Wira Husada Nusantara;2022;0;4;-
AMIK Harapan Bangsa Surakarta;2022;0;0;-
AMIK Jakarta Teknologi Cipta;2022;0;13;-
AMIK Jakarta Teknologi Cipta;2022;0;0;-
AMIK PGRI Kebumen;2022;116;11;1:11
AMIK Veteran Purwokerto;2022;0;0;-
AMIK YMI Tegal;2022;0;0;-
Institut Karya Mulia Bangsa;2022;0;0;-
Institut Teknologi Bisnis AAS Indonesia;2022;1203;42;1:29
Institut Teknologi Bisnis dan Kesehatan Bhakti Putra Bangsa Indonesia;2022;0;0;-
Institut Teknologi dan Bisnis Adias;2022;0;0;-
Institut Teknologi dan Bisnis Kristen Bukit Pengharapan;2022;94;13;1:8
Institut Teknologi dan Bisnis Muhammadiyah Grobogan;2022;0;0;-
Institut Teknologi dan Bisnis Muhammadiyah Purbalingga;2022;0;0;-
Institut Teknologi dan Bisnis Semarang;2022;897;38;1:24
Institut Teknologi Dan Sains Nahdlatul Ulama Pekalongan;2022;1036;46;1:23
Institut Teknologi Kesehatan Cendekia Utama Kudus;2022;0;0;-
Institut Teknologi Sains dan Kesehatan PKU Muhammadiyah Surakarta;2022;1192;59;1:21
Institut Teknologi Statistika dan Bisnis Muhammadiyah Semarang;2022;0;0;-
Institut Teknologi Telkom Purwokerto;2022;4224;177;1:24
Institut Widya Pratama;2022;0;0;-
Politeknik Akbara;2022;257;23;1:12
Politeknik Assalaam Surakarta;2022;0;0;-
Politeknik ATMI Surakarta;2022;737;69;1:11
Politeknik Baja Tegal;2022;244;17;1:15
Politeknik Balekambang Jepara;2022;106;19;1:6
Politeknik Banjarnegara;2022;145;24;1:7
Politeknik Bhakti Semesta;2022;0;0;-
Politeknik Bina Trada Semarang;2022;52;17;1:4
Politeknik Bisnis dan Perpajakan Indonesia;2022;0;0;-
Politeknik Bumi Akpelni;2022;635;48;1:14
Politeknik Dharma Patria;2022;0;0;-
Politeknik Gusdurian;2022;0;0;-
Politeknik Harapan Bersama;2022;3285;125;1:27
Politeknik Indonusa Surakarta;2022;1463;56;1:27
Politeknik Insan Husada Surakarta;2022;0;0;-
Politeknik Katolik Mangunwijaya;2022;360;24;1:15
Politeknik Kesehatan Bhakti Mulia;2022;419;27;1:16
Politeknik Kudus;2022;62;18;1:4
Politeknik Maarif;2022;0;0;-
Politeknik Madyathika;2022;0;0;-
Politeknik Manufaktur Ceper;2022;112;19;1:6
Politeknik Mitra Karya Mandiri;2022;221;16;1:14
Politeknik Muhammadiyah Magelang;2022;62;28;1:3
Politeknik Muhammadiyah Tegal;2022;417;36;1:12
Politeknik Nest;2022;0;0;-
Politeknik Pancasakti Global;2022;0;0;-
Politeknik Piksi Ganesha Indonesia;2022;0;0;-
Politeknik Pratama;2022;153;22;1:7
Politeknik Pratama Mulia;2022;515;55;1:10
Politeknik Purbaya;2022;492;16;1:31
Politeknik Pusmanu;2022;0;0;-
Politeknik Rukun Abdi Luhur;2022;41;15;1:3
Politeknik Santo Paulus Surakarta;2022;76;22;1:4
Politeknik Sawunggalih Aji;2022;304;25;1:13
Politeknik Stibisnis;2022;276;24;1:12
Politeknik Trisila Dharma;2022;216;15;1:15
Politeknik Yakpermas Banyumas;2022;240;25;1:10
Sekolah Tinggi Ilmu Administrasi Madani;2022;205;17;1:13
Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa;2022;0;0;-
Sekolah Tinggi Ilmu Ekonomi AMA;2022;709;27;1:27
Sekolah Tinggi Ilmu Ekonomi Anindyaguna;2022;345;11;1:32
Sekolah Tinggi Ilmu Ekonomi Assholeh;2022;0;0;-
Sekolah Tinggi Ilmu Ekonomi Atma Bhakti;2022;1676;21;1:80
Sekolah Tinggi Ilmu Ekonomi Bank BPD Jawa Tengah;2022;1295;31;1:42
Sekolah Tinggi Ilmu Ekonomi Cendekia Karya Utama;2022;605;16;1:38
Sekolah Tinggi Ilmu Ekonomi Dharma Putra Semarang;2022;427;36;1:12
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Cilacap;2022;198;28;1:8
Sekolah Tinggi Ilmu Ekonomi Pariwisata Indonesia;2022;1426;58;1:25
Sekolah Tinggi Ilmu Ekonomi Pelita Nusantara;2022;254;12;1:22
Sekolah Tinggi Ilmu Ekonomi Putra Bangsa;2022;0;0;-
Sekolah Tinggi Ilmu Ekonomi Rajawali;2022;266;12;1:23
Sekolah Tinggi Ilmu Ekonomi Satria;2022;150;14;1:11
Sekolah Tinggi Ilmu Ekonomi Semarang;2022;1908;67;1:29
Sekolah Tinggi Ilmu Ekonomi St. Pignatelli;2022;0;0;-
Sekolah Tinggi Ilmu Ekonomi Studi Ekonomi Modern;2022;813;15;1:55
